size,density,noise_level,negative_values,algorithm,negative_cycle,seconds,total_pairs,reachable_pairs,reachable_ratio,positive_pairs,positive_ratio,neg_inf_pairs,mean,median,min,max
10,0.2,0.0,False,dijkstra,False,0.00013060006313025951,81,81,1.0,81,1.0,0,1213.5802469135801,1181.0,73.0,2755.0
10,0.2,0.0,True,bellman-ford,False,0.0003522000042721629,81,81,1.0,81,1.0,0,1213.5802469135801,1181.0,73.0,2755.0
10,0.2,0.1,False,dijkstra,False,0.0001183999702334404,81,81,1.0,81,1.0,0,1314.9506172839506,1253.0,140.0,2929.0
10,0.2,0.1,True,bellman-ford,False,0.00017330003902316093,81,81,1.0,81,1.0,0,1206.9382716049383,1119.0,107.0,2705.0
10,0.2,0.5,False,dijkstra,False,0.00011169991921633482,81,81,1.0,81,1.0,0,1711.2345679012346,1524.0,257.0,3630.0
10,0.2,0.5,True,bellman-ford,False,0.00019599997904151678,81,81,1.0,78,0.9629629629629629,0,1079.8024691358025,980.0,-248.0,2526.0
10,0.2,0.8,False,dijkstra,False,0.00011100003030151129,81,81,1.0,81,1.0,0,2004.3827160493827,1808.0,292.0,4155.0
10,0.2,0.8,True,bellman-ford,False,0.00017920008394867182,81,81,1.0,72,0.8888888888888888,0,946.8641975308642,915.0,-751.0,2535.0
10,0.5,0.0,False,dijkstra,False,0.00017419992946088314,90,90,1.0,90,1.0,0,745.5222222222222,734.0,73.0,1915.0
10,0.5,0.0,True,bellman-ford,False,0.00025560008361935616,90,90,1.0,90,1.0,0,745.5222222222222,734.0,73.0,1915.0
10,0.5,0.1,False,dijkstra,False,0.00016900000628083944,90,90,1.0,90,1.0,0,826.9777777777778,802.5,140.0,2133.0
10,0.5,0.1,True,bellman-ford,False,0.000242199981585145,90,90,1.0,90,1.0,0,749.9222222222222,740.0,56.0,2041.0
10,0.5,0.5,False,dijkstra,False,0.00017680006567388773,90,90,1.0,90,1.0,0,1128.9777777777779,1077.0,206.0,2823.0
10,0.5,0.5,True,bellman-ford,True,5.430006422102451e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
10,0.5,0.8,False,dijkstra,False,0.0001623000716790557,90,90,1.0,90,1.0,0,1344.3666666666666,1224.5,256.0,3306.0
10,0.5,0.8,True,bellman-ford,True,5.40000619366765e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
10,0.8,0.0,False,dijkstra,False,0.0002090999623760581,90,90,1.0,90,1.0,0,553.9111111111112,576.0,73.0,1056.0
10,0.8,0.0,True,bellman-ford,False,0.0002615000121295452,90,90,1.0,90,1.0,0,553.9111111111112,576.0,73.0,1056.0
10,0.8,0.1,False,dijkstra,False,0.00021139997988939285,90,90,1.0,90,1.0,0,606.9111111111112,646.5,93.0,1102.0
10,0.8,0.1,True,bellman-ford,False,0.0003229000139981508,90,90,1.0,90,1.0,0,514.0555555555555,559.0,13.0,967.0
10,0.8,0.5,False,dijkstra,False,0.0002183000324293971,90,90,1.0,90,1.0,0,802.8222222222222,831.5,174.0,1429.0
10,0.8,0.5,True,bellman-ford,True,4.309997893869877e-05,0,0,0.0,0,0.0,0,nan,nan,nan,nan
